Threads,Schedule,Chunk,MeanTime,StdDev,Speedup,Efficiency,Mean_Suspicious_Burst,Mean_Suspicious_Category
1,static,1,.18766666666666666666,.00249443825784929381,.98579040852575488458,.98579040852575488458,550733.00000000000000000000,161645.00000000000000000000
1,static,10,.21700000000000000000,.01134313301811570311,.85253456221198156682,.85253456221198156682,550733.00000000000000000000,161645.00000000000000000000
1,static,100,.20466666666666666666,.01746106780494505954,.90390879478827361566,.90390879478827361566,550733.00000000000000000000,161645.00000000000000000000
1,static,1000,.19366666666666666666,.00623609564462323492,.95524956970740103273,.95524956970740103273,550733.00000000000000000000,161645.00000000000000000000
1,dynamic,1,.20733333333333333333,.02027039439401436214,.89228295819935691319,.89228295819935691319,550733.00000000000000000000,161645.00000000000000000000
1,dynamic,10,.21766666666666666666,.03288701195845489928,.84992343032159264933,.84992343032159264933,550733.00000000000000000000,161645.00000000000000000000
1,dynamic,100,.19900000000000000000,.01336662510384228065,.92964824120603015075,.92964824120603015075,550733.00000000000000000000,161645.00000000000000000000
1,dynamic,1000,.22233333333333333333,.04235039026450117082,.83208395802098950525,.83208395802098950525,550733.00000000000000000000,161645.00000000000000000000
1,guided,1,.19766666666666666666,.00410960933531264988,.93591905564924114674,.93591905564924114674,550733.00000000000000000000,161645.00000000000000000000
1,guided,10,.19266666666666666666,.00956846672960488220,.96020761245674740487,.96020761245674740487,550733.00000000000000000000,161645.00000000000000000000
1,guided,100,.20166666666666666666,.00385861230093007400,.91735537190082644631,.91735537190082644631,550733.00000000000000000000,161645.00000000000000000000
1,guided,1000,.19600000000000000000,.00282842712474619009,.94387755102040816326,.94387755102040816326,550733.00000000000000000000,161645.00000000000000000000
2,static,1,.12700000000000000000,.00909212113132390356,1.45669291338582677165,.72834645669291338582,550733.00000000000000000000,161645.00000000000000000000
2,static,10,.13966666666666666666,.00928559218478941277,1.32458233890214797142,.66229116945107398571,550733.00000000000000000000,161645.00000000000000000000
2,static,100,.13166666666666666666,.01189771219838316436,1.40506329113924050640,.70253164556962025320,550733.00000000000000000000,161645.00000000000000000000
2,static,1000,.13066666666666666666,.00262466929133726864,1.41581632653061224497,.70790816326530612248,550733.00000000000000000000,161645.00000000000000000000
2,dynamic,1,.12966666666666666666,.01732692189115603475,1.42673521850899742937,.71336760925449871468,550733.00000000000000000000,161645.00000000000000000000
2,dynamic,10,.12300000000000000000,.00804155872120987872,1.50406504065040650406,.75203252032520325203,550733.00000000000000000000,161645.00000000000000000000
2,dynamic,100,.12200000000000000000,.00920144916122817362,1.51639344262295081967,.75819672131147540983,550733.00000000000000000000,161645.00000000000000000000
2,dynamic,1000,.13066666666666666666,.02444494948973213873,1.41581632653061224497,.70790816326530612248,550733.00000000000000000000,161645.00000000000000000000
2,guided,1,.14466666666666666666,.00449691252107734690,1.27880184331797235028,.63940092165898617514,550733.00000000000000000000,161645.00000000000000000000
2,guided,10,.10633333333333333333,.00471404520791031659,1.73981191222570532920,.86990595611285266460,550733.00000000000000000000,161645.00000000000000000000
2,guided,100,.11600000000000000000,.00216024689946928520,1.59482758620689655172,.79741379310344827586,550733.00000000000000000000,161645.00000000000000000000
2,guided,1000,.10900000000000000000,.00711805216802087367,1.69724770642201834862,.84862385321100917431,550733.00000000000000000000,161645.00000000000000000000
4,static,1,.07466666666666666666,.00205480466765632494,2.47767857142857142879,.61941964285714285719,550733.00000000000000000000,161645.00000000000000000000
4,static,10,.07533333333333333333,.00047140452079102932,2.45575221238938053108,.61393805309734513277,550733.00000000000000000000,161645.00000000000000000000
4,static,100,.07566666666666666666,.00309120616516523368,2.44493392070484581519,.61123348017621145379,550733.00000000000000000000,161645.00000000000000000000
4,static,1000,.07366666666666666666,.00205480466765632494,2.51131221719457013597,.62782805429864253399,550733.00000000000000000000,161645.00000000000000000000
4,dynamic,1,.08066666666666666666,.00543650214343336298,2.29338842975206611589,.57334710743801652897,550733.00000000000000000000,161645.00000000000000000000
4,dynamic,10,.07666666666666666666,.00047140452079102932,2.41304347826086956542,.60326086956521739135,550733.00000000000000000000,161645.00000000000000000000
4,dynamic,100,.07500000000000000000,0,2.46666666666666666666,.61666666666666666666,550733.00000000000000000000,161645.00000000000000000000
4,dynamic,1000,.07133333333333333333,.00329983164553722043,2.59345794392523364498,.64836448598130841124,550733.00000000000000000000,161645.00000000000000000000
4,guided,1,.07700000000000000000,.00081649658092772195,2.40259740259740259740,.60064935064935064935,550733.00000000000000000000,161645.00000000000000000000
4,guided,10,.07300000000000000000,.00216024689946928520,2.53424657534246575342,.63356164383561643835,550733.00000000000000000000,161645.00000000000000000000
4,guided,100,.07133333333333333333,.00449691252107734690,2.59345794392523364498,.64836448598130841124,550733.00000000000000000000,161645.00000000000000000000
4,guided,1000,.08366666666666666666,.00449691252107734690,2.21115537848605577706,.55278884462151394426,550733.00000000000000000000,161645.00000000000000000000
8,static,1,.04466666666666666666,.00169967317119759232,4.14179104477611940360,.51772388059701492545,550733.00000000000000000000,161645.00000000000000000000
8,static,10,.04533333333333333333,.00368178700572908617,4.08088235294117647088,.51011029411764705886,550733.00000000000000000000,161645.00000000000000000000
8,static,100,.04866666666666666666,.00339934634239518906,3.80136986301369863065,.47517123287671232883,550733.00000000000000000000,161645.00000000000000000000
8,static,1000,.04966666666666666666,.00464279609239470584,3.72483221476510067164,.46560402684563758395,550733.00000000000000000000,161645.00000000000000000000
8,dynamic,1,.04500000000000000000,.00216024689946928520,4.11111111111111111111,.51388888888888888888,550733.00000000000000000000,161645.00000000000000000000
8,dynamic,10,.05333333333333333333,.01189771219838316436,3.46875000000000000021,.43359375000000000002,550733.00000000000000000000,161645.00000000000000000000
8,dynamic,100,.04433333333333333333,.00047140452079102932,4.17293233082706766948,.52161654135338345868,550733.00000000000000000000,161645.00000000000000000000
8,dynamic,1000,.04433333333333333333,.00047140452079102932,4.17293233082706766948,.52161654135338345868,550733.00000000000000000000,161645.00000000000000000000
8,guided,1,.04433333333333333333,.00047140452079102932,4.17293233082706766948,.52161654135338345868,550733.00000000000000000000,161645.00000000000000000000
8,guided,10,.04566666666666666666,.00094280904158205865,4.05109489051094890570,.50638686131386861321,550733.00000000000000000000,161645.00000000000000000000
8,guided,100,.05000000000000000000,.00244948974278317809,3.70000000000000000000,.46250000000000000000,550733.00000000000000000000,161645.00000000000000000000
8,guided,1000,.06166666666666666666,.01932758535243229885,3.00000000000000000032,.37500000000000000004,550733.00000000000000000000,161645.00000000000000000000
